stname,year,deaths,population,division,region,stabbr,poverty_rate,unemployment_rate
New Mexico,2000,271,1820704,Mountain,West,NM,17.5,4.9
New York,2000,767,18998429,Middle Atlantic,Northeast,NY,13.9,4.5
North Carolina,2000,491,8078824,South Atlantic,South,NC,12.5,3.7
North Dakota,2000,14,641183,West North Central,Midwest,ND,10.4,3
Ohio,2000,563,11363719,East North Central,Midwest,OH,10,4
Oklahoma,2000,237,3453861,West South Central,South,OK,14.9,3
Oregon,2000,208,3430828,Pacific,West,OR,10.9,5.1
Pennsylvania,2000,1147,12285041,Middle Atlantic,Northeast,PA,8.6,4.1
Rhode Island,2000,74,1050725,New England,Northeast,RI,10.2,4.1
South Carolina,2000,258,4023396,South Atlantic,South,SC,11.1,3.8
South Dakota,2000,20,755657,West North Central,Midwest,SD,10.7,2.5
Tennessee,2000,397,5703094,East South Central,South,TN,13.5,3.9
Texas,2000,1021,20946049,West South Central,South,TX,15.5,4.3
Utah,2000,210,2244210,Mountain,West,UT,7.6,3.3
Vermont,2000,36,609876,New England,Northeast,VT,10,2.8
Virginia,2000,411,7104354,South Atlantic,South,VA,8.3,2.3
Washington,2000,556,5911104,Pacific,West,WA,10.8,5.2
West Virginia,2000,113,1806977,South Atlantic,South,WV,14.7,5.5
Wisconsin,2000,248,5374133,East North Central,Midwest,WI,9.3,3.5
Wyoming,2000,22,493963,Mountain,West,WY,10.8,3.9
Alabama,2001,216,4467634,East South Central,South,AL,15.9,5.1
Alaska,2001,62,633714,Pacific,West,AK,8.5,6.4
Arizona,2001,552,5273477,Mountain,West,AZ,14.6,4.8
Arkansas,2001,126,2691571,West South Central,South,AR,17.8,5
California,2001,1226,34479458,Pacific,West,CA,12.6,5.4
Colorado,2001,411,4425687,Mountain,West,CO,8.7,3.8
Connecticut,2001,307,3432835,New England,Northeast,CT,7.3,3.1
Delaware,2001,64,795699,South Atlantic,South,DE,6.7,3.5
District of Columbia,2001,93,574504,South Atlantic,South,DC,18.2,6.3
Florida,2001,1746,16356966,South Atlantic,South,FL,12.7,4.7
Georgia,2001,511,8377038,South Atlantic,South,GA,12.9,4
Hawaii,2001,77,1225948,Pacific,West,HI,11.4,4.5
Idaho,2001,98,1319962,Mountain,West,ID,11.5,5.1
Illinois,2001,892,12488445,East North Central,Midwest,IL,10.1,5.3
Indiana,2001,283,6127760,East North Central,Midwest,IN,8.5,4.2
Iowa,2001,87,2931997,West North Central,Midwest,IA,7.4,3.3
Kansas,2001,138,2702162,West North Central,Midwest,KS,10.1,4.2
Kentucky,2001,345,4068132,East South Central,South,KY,12.6,5.2
Louisiana,2001,265,4477875,West South Central,South,LA,16.2,5.7
Maine,2001,85,1285692,New England,Northeast,ME,10.3,3.8
Maryland,2001,639,5374691,South Atlantic,South,MD,7.2,4
Massachusetts,2001,689,6397634,New England,Northeast,MA,8.9,3.7
Michigan,2001,621,9991120,East North Central,Midwest,MI,9.4,5.2
Minnesota,2001,185,4982796,West North Central,Midwest,MN,7.4,3.8
Mississippi,2001,169,2852994,East South Central,South,MS,19.3,5.5
Missouri,2001,351,5641142,West North Central,Midwest,MO,9.7,4.6
Montana,2001,56,906961,Mountain,West,MT,13.3,4.5
Nebraska,2001,66,1719836,West North Central,Midwest,NE,9.4,3.1
Nevada,2001,261,2098399,Mountain,West,NV,7.1,5.2
New Hampshire,2001,79,1255517,New England,Northeast,NH,6.5,3.4
New Jersey,2001,705,8492671,Middle Atlantic,Northeast,NJ,8.1,4.3
New Mexico,2001,258,1831690,Mountain,West,NM,18,4.9
New York,2001,1079,19082838,Middle Atlantic,Northeast,NY,14.2,4.8
North Carolina,2001,551,8210122,South Atlantic,South,NC,12.5,5.5
North Dakota,2001,14,639062,West North Central,Midwest,ND,13.8,2.9
Ohio,2001,737,11387404,East North Central,Midwest,OH,10.5,4.3
Oklahoma,2001,269,3467100,West South Central,South,OK,15.1,3.7
Oregon,2001,241,3467937,Pacific,West,OR,11.8,6.4
Pennsylvania,2001,958,12298970,Middle Atlantic,Northeast,PA,9.6,4.8
Rhode Island,2001,110,1057142,New England,Northeast,RI,9.6,4.6
South Carolina,2001,242,4064995,South Atlantic,South,SC,15.1,5.2
South Dakota,2001,24,757972,West North Central,Midwest,SD,8.4,3.1
Tennessee,2001,424,5750789,East South Central,South,TN,14.1,4.6
Texas,2001,1374,21319622,West South Central,South,TX,14.9,5
Utah,2001,209,2283715,Mountain,West,UT,10.5,4.4
Vermont,2001,44,612223,New England,Northeast,VT,9.7,3.3
Virginia,2001,459,7198362,South Atlantic,South,VA,8,3.2
Washington,2001,499,5985722,Pacific,West,WA,10.7,6.3
West Virginia,2001,206,1801481,South Atlantic,South,WV,16.4,5
Wisconsin,2001,269,5406835,East North Central,Midwest,WI,7.9,4.5
Wyoming,2001,22,494657,Mountain,West,WY,8.7,3.8
Alabama,2002,211,4480089,East South Central,South,AL,14.5,5.9
Alaska,2002,84,642337,Pacific,West,AK,8.8,7.3
Arizona,2002,624,5396255,Mountain,West,AZ,13.5,6.1
Arkansas,2002,176,2705927,West South Central,South,AR,19.8,5.5
